PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3,"Williams, Miss. Lily",female,31.6,0,2,T623217,11.81,,C
2,1,1,"Thomas, Mr. Henry",male,47.7,0,0,T614241,52.42,,S
3,1,2,"Davis, Mr. John",male,35.3,0,0,T35213,16.64,,S
4,1,3,"Jones, Mrs. Emma",female,34.6,1,0,T316118,15.09,,S
5,1,3,"Smith, Mrs. Alice",female,,0,0,T178484,15.98,E43,S
6,0,3,"Brown, Mr. Edward",male,17.8,1,0,T336133,16.47,,S
7,1,2,"Thomas, Mr. John",male,59.5,0,0,T212191,24.53,F102,C
8,0,3,"Wilson, Mr. Richard",male,21.0,1,0,T272605,21.41,,S
9,1,2,"Johnson, Mr. Henry",male,48.0,0,0,T201437,27.02,,S
10,0,3,"Davis, Mr. Edward",male,20.8,1,0,T770461,12.4,,S
11,0,3,"Williams, Mr. William",male,25.7,0,2,T442192,7.6,,C
12,1,2,"Davis, Miss. Edith",female,37.2,0,0,T310343,20.58,,S
13,0,3,"Taylor, Master. George",male,31.2,0,0,T816816,15.04,,S
14,0,3,"Thomas, Mr. Thomas",male,35.2,0,2,T619479,18.83,,S
15,1,1,"Taylor, Mrs. Edith",female,17.8,0,0,T60522,160.1,,S
16,0,3,"Miller, Mr. George",male,,0,0,T303625,5.42,,S
17,0,1,"Davis, Mr. Edward",male,16.9,0,0,T45193,76.57,,S
18,1,3,"Anderson, Mrs. Edith",female,22.0,1,3,T648301,3.6,,C
19,1,1,"Wilson, Mr. Edward",male,26.4,0,1,T79011,72.8,E9,S
20,0,1,"Williams, Master. Thomas",male,,0,1,T513680,100.86,,S
21,0,2,"Taylor, Mr. Henry",male,31.0,1,2,T919832,10.64,,S
22,0,3,"Anderson, Mr. John",male,36.7,0,0,T227142,14.13,,S
23,0,3,"Davis, Mrs. Florence",female,31.8,1,1,T497455,13.04,B18,S
24,0,3,"Jones, Mr. Charles",male,13.5,0,0,T979568,11.33,,S
25,0,2,"Smith, Mr. Robert",male,30.0,0,0,T861705,55.33,,S
26,0,1,"Moore, Mr. Robert",male,,1,0,T28961,152.33,C46,S
27,0,3,"Miller, Miss. Dorothy",female,40.7,0,0,T758324,13.46,,S
28,0,3,"Taylor, Mr. Charles",male,14.2,0,0,T431054,15.93,,S
29,0,2,"Smith, Master. Henry",male,0.5,0,0,T176674,34.03,,S
30,0,2,"Anderson, Miss. Annie",female,32.3,1,0,T268400,11.68,B67,C
31,1,3,"Johnson, Miss. Alice",female,34.8,1,0,T950164,10.2,,S
32,1,2,"Jones, Mr. John",male,27.1,0,2,T697415,46.85,,S
33,0,3,"Smith, Mr. John",male,30.1,0,0,T446363,12.59,,S
34,0,3,"Jones, Mr. Henry",male,,0,0,T418000,12.62,,S
35,0,3,"Wilson, Mr. Charles",male,23.0,0,0,T110549,25.17,,S
36,1,3,"Taylor, Mrs. Emma",female,25.7,0,0,T539616,5.45,,S
37,0,1,"Moore, Mr. Charles",male,30.8,1,0,T805015,161.71,E110,S
38,0,3,"Smith, Mr. Charles",male,12.0,0,1,T467348,22.62,,S
39,0,3,"Williams, Mr. Henry",male,27.5,0,2,T593451,19.81,,S
40,1,1,"Jones, Miss. Alice",female,,0,0,T195806,115.03,,S
41,0,3,"Williams, Mr. Thomas",male,,0,2,T769611,5.47,,S
42,1,2,"Brown, Mr. George",male,,0,1,T715627,20.86,F80,S
